Configuration,Rule Source,Sarif Identifier,Alerts
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/summary/lines-of-code-java,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/summary/lines-of-code-kotlin,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/tainted-format-string,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/tainted-numeric-cast,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/tainted-permissions-check,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/telemetry/external-libs,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/telemetry/extraction-information,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/telemetry/supported-external-api,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/telemetry/supported-external-api-sinks,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/telemetry/supported-external-api-sources,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/telemetry/supported-external-api-taint,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/telemetry/unsupported-external-api,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/unsafe-deserialization,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/unsafe-hostname-verification,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/unvalidated-url-forward,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/unvalidated-url-redirection,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/weak-cryptographic-algorithm,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/world-writable-file-read,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/xml/xpath-injection,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/xslt-injection,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/xss,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/xxe,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/zipslip,0
